date,region,temperature,rainfall,humidity
2022-01-01,north,22.79533762100619,52.79978235443761,60.29015377658961
2022-01-01,south,18.48026628135241,26.05025972894497,72.01817391012821
2022-01-01,east,18.708867031183864,40.23647511810827,60.386372331874554
2022-01-01,west,20.55997745452142,44.9537139188787,65.74800843242707
2022-01-01,central,19.430540693959294,98.76393376315195,51.87821869923412
2022-01-01,north,24.628442428257646,32.824621748485114,54.157967615649504
2022-01-01,south,19.847077632205835,48.192055419647296,63.88403597375345
2022-01-01,east,20.84257025399309,39.75983328737459,79.27080420648784
2022-01-01,west,22.059671131156993,60.501570396308324,74.64201571826544
2022-01-01,central,22.02128929328405,40.07873241057415,66.17254781767808
2022-01-01,north,20.638708724673105,27.735267361880833,61.858604724723875
2022-01-01,south,19.849878588186346,46.610509088751066,74.3549606793884
2022-01-01,east,24.22019063431686,44.52852381803018,68.29105035356793
2022-01-01,west,19.972613010929813,38.671513132194775,37.40764689941008
2022-01-01,central,19.288753352701384,39.740193506732695,49.80495864456447
2022-01-01,north,18.88043558497031,74.21031664229511,63.72567037669601
2022-01-01,south,16.718527156144834,44.12159639932496,42.47459146760697
2022-01-01,east,21.815365066032673,27.83384743510639,51.368377075548075
2022-01-01,west,15.475996767356694,41.274081408677915,53.34611768653696
2022-01-01,central,20.160687879748505,51.60311387398289,57.782608060658355
2022-01-01,north,19.762412293015576,23.791007953647963,57.46996504085462
2022-01-01,south,24.652063946021244,83.03595988480302,57.45306285144842
2022-01-01,east,16.508831104131094,67.86799023480049,68.59734229551984
2022-01-01,west,18.369926987589633,79.11985555705063,57.692028468611355
2022-01-01,central,19.89994064419505,58.358963194428696,56.49796580240435
2022-01-02,north,19.94915744128912,9.158699346080361,47.19671119101975
2022-01-02,south,19.245126934607367,81.73932268145265,70.93189425231316
2022-01-02,east,20.18224029742312,33.76128115448452,53.973457092980055
2022-01-02,west,17.825090658487973,35.388913468640396,49.818128952442166
2022-01-02,central,21.058601874217334,54.15915122779124,62.81933798114463
2022-01-02,north,15.701245432072302,78.59724528208537,53.01901960862428
2022-01-02,south,20.292677404472943,72.09839102773037,55.428904834511975
2022-01-02,east,19.143502727700312,69.15827075220278,63.2730339756456
2022-01-02,west,22.37679200174073,44.796107291191305,57.423605994659354
2022-01-02,central,23.854838257494066,44.480497826840136,83.80452598546125
2022-01-02,north,19.682111778726743,57.95152170828371,59.94014679926293
2022-01-02,south,23.125667974510318,48.43123152301172,66.86681442124714
2022-01-02,east,19.711983554966636,68.81900649526943,41.27149175752547
2022-01-02,west,18.41196306996928,67.6350016385869,52.08194091330761
2022-01-02,central,23.836023380598697,62.85947477213648,49.819295283287786
2022-01-02,north,21.385769005695472,0.5134227132948013,51.144634999428625
2022-01-02,south,20.353093161447084,53.592415622227655,64.84381217082495
2022-01-02,east,21.718571066424754,48.85557073402835,71.04408291022901
